ingredients,cuisine
"spaghetti, tomato sauce, ground beef, onion, garlic, olive oil, basil, parmesan cheese",italian
"pizza dough, tomato sauce, mozzarella cheese, pepperoni",italian
"rice, chicken, curry powder, coconut milk, onion, garlic, ginger",indian
"red lentils, onion, garlic, turmeric, cumin, coriander, rice",indian
"tortilla, beef, cheese, lettuce, tomato, salsa, sour cream",mexican
"taco shell, ground beef, taco seasoning, cheese, lettuce, tomato",mexican
"soy sauce, chicken, ginger, garlic, cornstarch, sugar, vinegar",chinese
"noodles, soy sauce, vegetables, sesame oil, garlic",chinese
"bread, burger bun, ground beef, lettuce, tomato, onion, cheese",american
"chicken, flour, egg, oil, salt, pepper",american
"croissant, butter, flour, yeast, milk, sugar",french
"baguette, flour, water, yeast, salt",french
"rice, sushi vinegar, nori, salmon, avocado, cucumber",japanese
"miso paste, tofu, seaweed, green onion, dashi",japanese
"chickpeas, tahini, lemon juice, garlic, olive oil, cumin",mediterranean
"feta cheese, olive oil, cucumber, tomato, onion, oregano",mediterranean
"rice noodles, shrimp, peanut, egg, bean sprouts, lime",thai
"coconut milk, curry paste, chicken, bamboo shoots, basil",thai
